MARCA_ITV,COUNT
"APRILIA",448
"ARIIC",6
"BENDA",1
"BENELLI",368
"BETA",40
"BITRI",1
"BMW",670
"BRIXTON",66
"CFMOTO",75
"DAELIM",20
"DAYANG",2
"DUCATI",184
"FANTIC MOTOR",21
"FKMOTORS",2
"GASGAS",76
"GOES",3
"HANWAY",23
"HARLEY-DAVIDSON",116
"HONDA",3437
"HUSQVARNA",112
"HYOSUNG",43
"INDIAN",39
"ITALJET",6
"KAWASAKI",450
"KEEWAY",372
"KSR MOTO",3
"KTM",421
"KYMCO",1452
"LAMBRETTA",30
"LEONART",24
"LINHAI",13
"MACBOR",228
"MALAGUTI",30
"MALCOR",18
"MALCOR IBERICA",5
"MASH",19
"MH MOTORCYCLES",121
"MITT",302
"MONDIAL",30
"MONKEY BIKES",23
"MONTESA",3
"MOTO GUZZI",44
"MOTO MORINI",15
"MOTORBIKE",1
"MOTRON MOTORRAD",98
"MUTT",20
"MV AGUSTA",16
"ORCAL",15
"PEUGEOT",337
"PIAGGIO",952
"PRUEBAS",2
"REDMOTO",7
"RIEJU",117
"RIYA",11
"ROYAL ALLOY",3
"ROYAL ENFIELD",121
"SHERCO",33
"SUMCO",17
"SUZUKI",216
"SWM",7
"SYM",1149
"TGB",1
"TM RACING",3
"TRIUMPH",205
"TRS",19
"UM",54
"VERTIGO MOTORS",4
"VOGE",146
"WOTTAN",108
"YAMAHA",1485
"ZONTES",583
