FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,POTENCIA_ITV,NUM_PLAZAS,LOCALIDAD_VEHICULO,COD_PROVINCIA_VEH,COD_PROVINCIA_MAT,FEC_TRAMITE,CODIGO_POSTAL,PERSONA_FISICA_JURIDICA,CODIGO_ITV,SERVICIO,COD_MUNICIPIO_INE_VEH,MUNICIPIO,KW_ITV,TIPO_CARNET,TIPO_ITV,VARIANTE_ITV,VERSION_ITV,MASA_ORDEN_MARCHA_ITV,MASA_MAXIMA_TECNICA_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,CARROCERIA,CONSUMO_WH_KM_ITV,CLASIFICACION_REGLAMENTO_VEHICULOS_ITV,CATEGORIA_VEHICULO_ELECTRICO,AUTONOMIA_VEHICULO_ELECTRICO,MARCA_VEHICULO_BASE,FABRICANTE_VEHICULO_BASE,TIPO_VEHICULO_BASE,VARIANTE_VEHICULO_BASE,VERSION_VEHICULO_BASE
"27032025","0","","BMW","CE 02","0","1.16","2","SANTA CRUZ DE TENERIFE","TF","TF","27032025","38004","D","","B00","38038","S C TENERIFE","6.00","A1","","0C71","A","105","312","L3e","","60","0400","BEV","009500","","","","",""
"27032025","0","","SILENCE","SEAT MÓ ESCOOTER 125","0","1.35","2","JEREZ DE LA FRONTERA","CA","CO","27032025","11401","X","","B00","11020","JEREZ DE LA FTRA","7.00","A1","","6","2","111","320","L3e","","70","0400","BEV","013300","","","","",""
"27032025","0","","SILENCE","SEAT MÓ ESCOOTER 125","0","1.35","2","SAN ANTONIO DE BENAGÉBER","V","V","27032025","46184","D","","B00","46903","SAN ANTONIO DE BENAGEBER","7.00","A1","","6","2","111","320","L3e","","70","0400","BEV","013300","","","","",""
"27032025","0","","SILENCE","S02","0","1.35","1","SAN FERNANDO DE HENARES","M","M","27032025","28830","X","","A01","28130","SAN FERNANDO HENARES","7.00","A1","","0","1","105","330","L3e","","60","0400","BEV","012700","","","","",""
"27032025","0","","BRP","2W ORIGIN EV46-27 BK I","0","5.84","2","ROQUETAS DE MAR","AL","AL","27032025","04740","X","","B00","04079","ROQUETAS DE MAR","30.10","A2","","A","C","129","338","L3e","ND","77","0400","BEV","011700","","","","",""
"27032025","0","","SUPER SOCO","TC 125","0","0.36","2","CORNELLA DE LLOBREGAT","B","SG","27032025","08940","D","","B00","08073","CORNELLA DE LLOB","1.90","A1","","2","1","72","240","L3e","ND","30","0400","BEV","004900","","","","",""
"27032025","0","","SILENCE","S02","0","1.35","1","SAN FERNANDO DE HENARES","M","M","27032025","28830","X","","A01","28130","SAN FERNANDO HENARES","7.00","A1","","0","1","105","330","L3e","","60","0400","BEV","012700","","","","",""
"27032025","0","","SILENCE","S02","0","1.35","1","SAN FERNANDO DE HENARES","M","M","27032025","28830","X","","A01","28130","SAN FERNANDO HENARES","7.00","A1","","0","1","105","330","L3e","ND","60","0400","BEV","012700","","","","",""
"27032025","0","","SILENCE","SEAT MÓ ESCOOTER 125","0","1.35","2","JEREZ DE LA FRONTERA","CA","CO","27032025","11408","X","","B00","11020","JEREZ DE LA FTRA","7.00","A1","","6","2","111","320","L3e","","70","0400","BEV","013300","","","","",""
"27032025","0","","BMW","CE 02","0","1.16","2","SARRIGUREN","NA","NA","27032025","31621","D","","B00","31086","EGUES","6.00","A1","","0C71","A","105","312","L3e","","60","0400","BEV","009500","","","","",""
"27032025","0","","BMW","CE 02","0","1.16","2","RIOGORDO","MA","MA","27032025","29180","X","","B00","29083","RIOGORDO","6.00","A1","","0C71","A","105","312","L3e","","60","0400","BEV","009500","","","","",""
"27032025","0","","CECOTEC","VULCANO","0","1.16","2","ARROYO DE LA MIEL","MA","MA","27032025","29631","D","","B00","29025","BENALMADENA","6.00","A1","","01","00","126","337","L3e","ND","45","0400","BEV","015100","","","","",""
"27032025","0","","BMW","CE 02","0","1.16","2","RIOGORDO","MA","MA","27032025","29180","X","","B00","29083","RIOGORDO","6.00","A1","","0C71","A","105","312","L3e","","60","0400","BEV","009500","","","","",""
"27032025","0","","EFUN","TIGER 100","0","1.36","2","MAIRENA DEL ALJARAFE","SE","H","27032025","41927","X","","B00","41059","MAIRENA DEL ALJARAFE","7.10","A1","","04","01","101","306","L3e","","48","0400","BEV","020100","","","","",""
"27032025","0","","SILENCE","S02","0","1.35","1","SAN FERNANDO DE HENARES","M","M","27032025","28830","X","","A01","28130","SAN FERNANDO HENARES","7.00","A1","","0","1","105","330","L3e","","60","0400","BEV","012700","","","","",""
"27032025","0","","SILENCE","SEAT MÓ ESCOOTER 125","0","1.35","2","JEREZ DE LA FRONTERA","CA","CO","27032025","11401","X","","B00","11020","JEREZ DE LA FTRA","7.00","A1","","6","2","111","320","L3e","","70","0400","BEV","013300","","","","",""
