MARCA_ITV,COUNT
"AJP",6
"ANDES",1
"APRILIA",90
"ARIIC",26
"BENELLI",185
"BETA",84
"BMW",782
"BRIXTON",60
"CFMOTO",21
"DAELIM",24
"DAYANG",1
"DUCATI",234
"EFUN",13
"FANTIC MOTOR",17
"FKMOTORS",5
"GAS GAS",60
"GOES",15
"HANWAY",32
"HARLEY-DAVIDSON",87
"HONDA",2840
"HUSQVARNA",109
"HYOSUNG",26
"INDIAN",1
"INDIAN MOTORCYCLE",25
"KAWASAKI",512
"KEEWAY",135
"KSR MOTO AUSTRIA",9
"KTM",459
"KYMCO",823
"LAMBRETTA",22
"LEONART",9
"LINHAI",1
"MACBOR",332
"MALAGUTI",10
"MALCOR",3
"MALCOR IBERICA",3
"MASH",5
"MH MOTORCYCLES",21
"MITT",149
"MONDIAL",35
"MONKEY BIKES",6
"MONTESA",12
"MOTO GUZZI",62
"MOTOVESPA",1
"MOTRON MOTORRAD",53
"MUTT",4
"MV AGUSTA",11
"MX",3
"NORTON",1
"ORCAL",14
"PEUGEOT",240
"PIAGGIO",891
"PIONEER",2
"RIEJU",30
"RIYA",3
"ROYAL ENFIELD",64
"SCORPA",2
"SHERCO",80
"SUMCO",8
"SUZUKI",181
"SWM",8
"SYM",524
"TIANYING",5
"TM RACING",2
"TRIUMPH",136
"TRS",19
"UM",50
"VERTIGO MOTORS",11
"VOGE",54
"WOTTAN",143
"YAMAHA",2215
"ZONTES",236
