MARCA_ITV,COUNT
"ACURA",1
"APRILIA",39
"BENELLI",173
"BETA",76
"BMW",733
"BRIXTON",33
"CF MOTO",1
"DAELIM",103
"DERBI",1
"DUCATI",127
"GAS-GAS",74
"GENERIC",1
"GOES",25
"HANWAY",51
"HARLEY DAVIDSON",145
"HM",10
"HONDA",2159
"HUDSON BOSS",1
"HUSQVARNA",104
"HYOSUNG",5
"INDIAN MOTORCYCLE",25
"KAWASAKI",442
"KEEWAY",209
"KENROD",2
"KSR MOTO",1
"KSR MOTO AUSTRIA",15
"KTM",462
"KYMCO",1121
"LEONART",6
"LINHAI",1
"LINTEX",2
"LML",2
"MACBOR",24
"MASH",35
"MH MOTORCYCLES",82
"MONDIAL",35
"MONKEY BIKES",1
"MONSTERPRO",2
"MONTESA",8
"MOTO GUZZI",23
"MV AGUSTA",6
"NORTON",1
"ORCAL",3
"PEUGEOT",300
"PIAGGIO",707
"PIONEER",1
"RIDE",2
"RIEJU",38
"RIYA",22
"ROYAL ENFIELD",22
"S.Y.M",526
"SCOMADI",23
"SHERCO",46
"SKY TEAM",1
"SUMCO",6
"SUZUKI",416
"SWM",7
"TGB",4
"TIANDA",5
"TRIUMPH",182
"TRS",5
"UM",13
"VERTIGO MOTORS",3
"VICTORY MOTORCYCLES DIV",1
"WOTTAN",45
"YAMAHA",2110
"YIYING",5
"ZHENHUA",2
