MARCA_ITV,COUNT
"AJP",2
"APRILIA",79
"ARIIC",2
"BENELLI",276
"BETA",72
"BMW",954
"BRIXTON",52
"CF MOTO",7
"DAELIM",119
"DUCATI",190
"EFUN",50
"FANTIC MOTOR",5
"FKMOTORS",2
"GASGAS",18
"GOES",84
"HANWAY",19
"HARLEY-DAVIDSON",174
"HONDA",3333
"HUSQVARNA",239
"HYOSUNG",25
"INDIAN",36
"JNEN",2
"KAWASAKI",801
"KEEWAY",209
"KENROD",2
"KSR MOTO",29
"KTM",540
"KYMCO",1962
"LAMBRETTA",19
"LEONART",11
"LEXMOTO",1
"LIFAN",1
"LONCIN",11
"MACBOR",226
"MALAGUTI",39
"MALCOR",7
"MASH",40
"MESSERSCHMITT",21
"MH MOTORCYCLES",28
"MONDIAL",37
"MONKEY BIKES",2
"MONTESA",13
"MOTO GUZZI",58
"MOTO SPA",1
"MUTTI",1
"MV AGUSTA",6
"NOOMA",1
"ORCAL",2
"PEUGEOT",193
"PIAGGIO",1072
"PIONEER",5
"RIEJU",69
"RIYA",7
"ROYAL ALLOY",3
"ROYAL ENFIELD",76
"SCOMADI",5
"SHERCO",60
"SUMCO",28
"SUZUKI",526
"SWM",16
"SYM",826
"TIANDA",5
"TIANYING",2
"TM RACING",6
"TRIUMPH",187
"TRS",19
"UM",23
"VARIO",1
"VERTIGO MOTORS",10
"WANGYE",4
"WOTTAN",133
"YAMAHA",2443
"YINGANG",1
"ZHENHUA",1
"ZONTES",39
