MARCA_ITV,COUNT
"AJP",16
"APRILIA",261
"ARIIC",17
"BENELLI",186
"BETA",67
"BMW",1258
"BRIXTON",15
"BSA",1
"CFMOTO",119
"DAELIM",2
"DUCATI",178
"EFUN",4
"FANTIC MOTOR",52
"GASGAS",67
"HANWAY",3
"HARLEY-DAVIDSON",112
"HONDA",3889
"HUSQVARNA",171
"HYOSUNG",7
"INDIAN",19
"KAWASAKI",707
"KEEWAY",164
"KL",1
"KTM",401
"KYMCO",1175
"LAMBRETTA",4
"LEONART",10
"LINHAI",4
"MACBOR",116
"MALAGUTI",1
"MALCOR IBERICA",1
"MASH",1
"MBP",7
"MH MOTORCYCLES",67
"MITT",135
"MONDIAL",2
"MONKEY BIKES",5
"MONTESA",3
"MOTO GUZZI",95
"MOTO MORINI",30
"MOTRON MOTORRAD",12
"MUTT",2
"MV AGUSTA",6
"ORCAL",9
"PEUGEOT",90
"PIAGGIO",703
"QJMOTOR",187
"REDMOTO",15
"RIEJU",98
"RIYA",2
"ROYAL ALLOY",1
"ROYAL ENFIELD",114
"SHERCO",49
"SUZUKI",313
"SWM",11
"SYM",691
"TRIUMPH",291
"TRS",16
"UM",33
"VERTIGO MOTORS",4
"VOGE",542
"WOTTAN",160
"YAMAHA",2575
"ZONTES",515
