MARCA_ITV,COUNT
"AJP",23
"ALPINA DI RENANIA",2
"ANDES",10
"APRILIA",332
"ARIIC",12
"BAJAJ",40
"BENDA",69
"BENELLI",149
"BETA",40
"BMW",1722
"BRIXTON",18
"CFMOTO",76
"CYCLONE",79
"DUCATI",231
"EFUN",1
"F.B MONDIAL",4
"FANTIC MOTOR",30
"GASGAS",16
"HANWAY",1
"HARLEY-DAVIDSON",94
"HONDA",5685
"HUSQVARNA",88
"HYOSUNG",8
"INDIAN MOTORCYCLE",30
"ITALJET",5
"KAWASAKI",906
"KEEWAY",253
"KOVE",82
"KTM",245
"KYMCO",1491
"LAMBRETTA",53
"LEONART",16
"LETBE",11
"LINHAI",10
"MACBOR",206
"MALAGUTI",11
"MALCOR IBERICA",8
"MBP",51
"MH MOTORCYCLES",118
"MITT",241
"MONDIAL",18
"MONKEY BIKES",1
"MONTESA",9
"MORBIDELLI",127
"MOTO GUZZI",40
"MOTO MORINI",41
"MOTRON MOTORRAD",11
"MTR BIKES",1
"MV AGUSTA",21
"NEXT",17
"ORCAL",4
"PEUGEOT",333
"PIAGGIO",767
"QJMOTOR",628
"REDMOTO",2
"RIEJU",156
"ROYAL ALLOY",2
"ROYAL ENFIELD",179
"SCORPA",2
"SHERCO",26
"SKY TEAM",1
"SUZUKI",201
"SWM",28
"SYM",1193
"TM MOTO",2
"TRIUMPH",509
"TRS",9
"UM",28
"VERTIGO MOTORS",1
"VOGE",1116
"WOTTAN",116
"WOTTAN MOTOR",33
"YAMAHA",3934
"ZONTES",2154
