MARCA_ITV,COUNT
"AJP",7
"APRILIA",203
"ARIIC",5
"BENELLI",144
"BETA",72
"BMW",742
"BRIXTON",25
"CFMOTO",31
"DAELIM",7
"DUCATI",123
"EFUN",17
"FANTIC MOTOR",32
"GASGAS",120
"GUZZI",2
"HANWAY",4
"HARLEY-DAVIDSON",93
"HONDA",3102
"HUSQVARNA",182
"HYOSUNG",13
"INDIAN",19
"ITALJET",3
"KAWASAKI",508
"KEEWAY",172
"KL",3
"KTM",619
"KYMCO",881
"LAMBRETTA",8
"LEONART",9
"LINHAI",6
"MACBOR",104
"MALAGUTI",13
"MALCOR IBERICA",2
"MASH",5
"MH MOTORCYCLES",68
"MITT",132
"MONDIAL",12
"MONKEY BIKES",4
"MONTESA",10
"MOTO GUZZI",42
"MOTO MORINI",12
"MOTORBIKE",5
"MOTRON MOTORRAD",26
"MUTT",12
"MV AGUSTA",4
"ORCAL",3
"PANTHER",1
"PEUGEOT",127
"PIAGGIO",751
"QJMOTOR",31
"REDMOTO",7
"RIEJU",56
"RIYA",8
"ROYAL ENFIELD",91
"SCORPA",2
"SHERCO",45
"SUMCO",3
"SUZUKI",132
"SWM",6
"SYM",552
"TM RACING",1
"TRIUMPH",205
"TRS",28
"UM",25
"VENT S.R.L.",1
"VERTIGO MOTORS",6
"VOGE",119
"WOTTAN",154
"YAMAHA",1550
"ZONTES",380
