MARCA_ITV,MODELO_ITV,KW_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,COUNT
"ARENA","R30","4.00","L3e",12
"ARENA","VORTEX","4.00","L3e",1
"BMW","CE 02","6.00","L3e",5
"BMW","CE 04","11.00","L3e",1
"BMW","CE 04","15.00","L3e",5
"BMW","CE04","11.00","L3e",1
"BMW","CE04","15.00","L3e",5
"CANOMOBILITY","JS2A","4.00","L3e",1
"CECOTEC","CECOTEC SHARK RS","3.00","L3e",1
"CECOTEC","VULCANO","6.00","L3e",6
"DAYI MOTOR","E-RIG","6.00","L3e",1
"DIMEN","DP03","9.50","L3e",3
"E-BROH","BRAVO GLE","5.00","L3e",2
"E-BROH","BRAVO GLS","5.00","L3e",2
"E-BROH","E-F10","4.70","L3e",1
"E-MAX","N.A.","3.50","L3e",8
"E-ZI","GOCCIA GEV3000","3.00","L3e",1
"EFUN","MONEY75","5.50","L3e",1
"EFUN","PUSA90","5.50","L3e",11
"EFUN","TIGER 100","7.10","L3e",10
"FANTIC MOTOR","--","3.00","L3e",2
"FELQ","FW03","3.00","L3e",16
"FELQ","FW06","5.00","L3e",1
"FELQ","FW07","5.00","L3e",2
"FRISON","RIDER-X","6.80","L3e",1
"HORWIN","EK3","3.50","L3e",1
"HORWIN","HORWIN SK3","4.00","L3e",1
"IONIK","VELAR","3.00","L3e",4
"JNEN","MODEL 1","3.50","L3e",2
"KAWASAKI","NINJA E-1","5.00","L3e",1
"KTM","KTM FREERIDE E-XC","9.15","L3e",1
"LINZE","ROAD","4.00","L3e",1
"LIVEWIRE","S2 DEL MAR","30.00","L3e",1
"LIVEWIRE","S2 MULHOLLAND","30.00","L3e",1
"LVNENG","LX06MAX, S6, ELEGANCE","4.00","L3e",1
"NEXTELECTRICMOTORS","NX PLUS","4.00","L3e",1
"NEXT","MOJITO","3.50","L3e",10
"NEXT","OVEGA","10.00","L3e",17
"NIU","NQI GTS SPORTL3 3,2KWH","4.60","L3e",2
"PIAGGIO","PIAGGIO 1","2.00","L3e",5
"PIAGGIO","PIAGGIO 1","2.70","L3e",1
"PIAGGIO","VESPA PRIMAVERA TECH E","3.60","L3e",1
"QUAZZAR","E-DIVINE PLUS","4.00","L3e",8
"RAY ELECTRIC MOTORS","RAY 7.7","11.00","L3e",1
"RIEJU","NUUK","6.13","L3e",53
"SEGWAY","--","7.80","L3e",17
"SILENCE","S01+","7.50","L3e",3
"SILENCE","S01","7.00","L3e",183
"SILENCE","S02","4.54","L3e",1
"SILENCE","S02","7.00","L3e",12
"SILENCE","SEAT MÓ 125 PERFORMANC","7.50","L3e",1
"SILENCE","SEAT MÓ ESCOOTER 125","7.00","L3e",40
"STARK","STARK VARG","9.00","L3e",30
"SUPER SOCO","CPXPRO","4.00","L3e",2
"SUPER SOCO","TC 125","1.90","L3e",1
"SUPER SOCO","TC MAX E5","3.90","L3e",10
"SUPER SOCO","TC WANDERER","2.50","L3e",1
"SURRON","ULTRA BEE","6.00","L3e",3
"SWAPPER","X+","3.00","L3e",4
"UGBEST","LEGEND","3.00","L3e",2
"URBAN ELECTRIC MOTORS","LX06MAX","4.00","L3e",1
"URBAN ELECTRIC MOTORS","URBAN DELIVERY","4.70","L3e",18
"VELCA","CALIMA S","5.15","L3e",7
"VELCA","JSQ1","8.00","L3e",5
"VELCA","ONE","7.00","L3e",24
"VELCA","VORTEX","8.00","L3e",18
"VELIMOTOR","VMX10S","4.00","L3e",1
"VMOTO","F01","3.50","L3e",6
"VMOTO","STASH","9.00","L3e",3
"VOSTOK","C8S EXPRESS PLUS","5.00","L3e",4
"ZEEHO","AE6+","4.70","L3e",1
"ZERO MOTORCYCLES","DS 14.4","11.00","L3e",1
"ZERO MOTORCYCLES","DSR 15.6","33.00","L3e",1
"ZERO MOTORCYCLES","DSR/X","36.00","L3e",2
"ZERO MOTORCYCLES","FX ZF7.2","15.40","L3e",3
"ZERO MOTORCYCLES","FXE ZF7.2 11KW","10.60","L3e",1
"ZERO MOTORCYCLES","S 14.4","11.00","L3e",1
"ZERO MOTORCYCLES","SR","28.00","L3e",1
