MARCA_ITV,COUNT
"ARENA",13
"BMW",17
"CANOMOBILITY",1
"CECOTEC",7
"DAYI MOTOR",1
"DIMEN",3
"E-BROH",5
"E-MAX",8
"E-ZI",1
"EFUN",22
"FANTIC MOTOR",2
"FELQ",19
"FRISON",1
"HORWIN",2
"IONIK",4
"JNEN",2
"KAWASAKI",1
"KTM",1
"LINZE",1
"LIVEWIRE",2
"LVNENG",1
"NEXT",27
"NEXTELECTRICMOTORS",1
"NIU",2
"PIAGGIO",7
"QUAZZAR",8
"RAY ELECTRIC MOTORS",1
"RIEJU",53
"SEGWAY",17
"SILENCE",240
"STARK",30
"SUPER SOCO",14
"SURRON",3
"SWAPPER",4
"UGBEST",2
"URBAN ELECTRIC MOTORS",19
"VELCA",54
"VELIMOTOR",1
"VMOTO",9
"VOSTOK",4
"ZEEHO",1
"ZERO MOTORCYCLES",10
