FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,POTENCIA_ITV,NUM_PLAZAS,LOCALIDAD_VEHICULO,COD_PROVINCIA_VEH,COD_PROVINCIA_MAT,FEC_TRAMITE,CODIGO_POSTAL,PERSONA_FISICA_JURIDICA,CODIGO_ITV,SERVICIO,COD_MUNICIPIO_INE_VEH,MUNICIPIO,KW_ITV,TIPO_CARNET,TIPO_ITV,VARIANTE_ITV,VERSION_ITV,MASA_ORDEN_MARCHA_ITV,MASA_MAXIMA_TECNICA_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,CARROCERIA,CONSUMO_WH_KM_ITV,CLASIFICACION_REGLAMENTO_VEHICULOS_ITV,CATEGORIA_VEHICULO_ELECTRICO,AUTONOMIA_VEHICULO_ELECTRICO,MARCA_VEHICULO_BASE,FABRICANTE_VEHICULO_BASE,TIPO_VEHICULO_BASE,VARIANTE_VEHICULO_BASE,VERSION_VEHICULO_BASE
"06062025","0","","ZERO MOTORCYCLES","DS 14.4","0","2.13","2","LASARTE-ORIA","SS","SS","06062025","20160","D","","B00","20902","LASARTE ORIA","11.00","A1","","ZS","065S","159","500","L3e","ND","93","0400","BEV","017300","","","","",""
"06062025","0","","E-BROH","BRAVO CR","0","0.97","2","GUARDIA DE JAEN, LA","J","J","06062025","23170","D","","B00","23038","LA GUARDIA DE JAEN","5.00","A1","","NM5000D","NM5000D-B10","119","304","L3e","","58","0400","BEV","012300","","","","",""
"06062025","0","","VELCA","CALIMA S","0","0.99","2","VILLANUEVA DEL PARDILLO","M","SG","06062025","28229","D","","B00","28177","VILLANUEVA PARDILLO","5.15","A1","","1","6","84","256","L3e","","36","0400","BEV","008600","","","","",""
"06062025","0","","EFUN","TIGER 100","0","1.36","2","OCAÑA","TO","SG","06062025","45300","D","","B00","45121","OCAÑA","7.10","A1","","04","01","101","306","L3e","","48","0400","BEV","020100","","","","",""
"06062025","0","","IONIK","VELAR","0","0.58","2","IBI","A","M","06062025","03440","X","","B00","03079","IBI","3.00","A1","","00","00","103","275","L3e","","42","0400","BEV","010000","","","","",""
"06062025","0","","VELCA","CALIMA S","0","0.99","2","MÓSTOLES","M","SG","06062025","28936","D","","B00","28092","MOSTOLES","5.15","A1","","1","6","84","256","L3e","","36","0400","BEV","008600","","","","",""
"06062025","0","","VELCA","CALIMA S","0","0.99","2","MADRID","M","SG","06062025","28019","D","","B00","28079","MADRID","5.15","A1","","1","6","84","256","L3e","","36","0400","BEV","008600","","","","",""
"06062025","0","","CECOTEC","VULCANO","0","1.16","2","ALGEMESÍ","V","MA","06062025","46680","D","","B00","46029","ALGEMESI","6.00","A1","","01","00","126","337","L3e","ND","45","0400","BEV","015100","","","","",""
"06062025","0","","NEXT","MOJITO","0","0.67","2","CABRA","CO","MA","06062025","14940","D","","B00","14013","CABRA","3.50","A1","","EE","00","87","261","L3e","ND","31","0400","BEV","011400","","","","",""
"06062025","0","","VELCA","CALIMA S","0","0.99","2","LLOMBAI","V","V","06062025","46195","X","","B00","46156","LLOMBAY","5.15","A1","","1","6","84","256","L3e","","36","0400","BEV","008600","","","","",""
"06062025","0","","SILENCE","S01","0","1.35","2","TORRELLES DE LLOBREGAT","B","M","06062025","08629","X","","B00","08289","TORRELLES DE LLOB","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"06062025","0","","SILENCE","S01","0","1.35","2","SANT CUGAT DEL VALLÈS","B","M","06062025","08173","D","","B00","08205","S CUGAT DEL VALLES","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
