MARCA_ITV,MODELO_ITV,KW_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,COUNT
"ARENA","R30","4.00","L3e",19
"ARENA","VORTEX","4.00","L3e",2
"BMW","CE 02","6.00","L3e",11
"BMW","CE 04","15.00","L3e",1
"BMW","CE04","15.00","L3e",14
"BRP","2W ORIGIN SS73 EV46-27","30.10","L3e",1
"BRP","2W PULSE EV46-14 BK IN","10.60","L3e",1
"CECOTEC","CECOTEC SHARK RS","3.00","L3e",4
"CECOTEC","VULCANO","6.00","L3e",15
"E-BROH","---","7.00","L3e",1
"E-BROH","BRAVO CR","5.00","L3e",1
"E-BROH","E-F10","4.70","L3e",1
"E-BROH","VERACRUZ","4.70","L3e",2
"EFUN","LIPO70","4.11","L3e",2
"EFUN","PUMA","9.90","L3e",1
"EFUN","PUSA90","5.50","L3e",12
"EFUN","TIGER 100","7.10","L3e",6
"FELQ","FW03","3.00","L3e",4
"FELQ","FW07","5.00","L3e",4
"HORWIN","EK3","3.50","L3e",4
"HORWIN","HORWIN CR6","3.10","L3e",1
"HORWIN","HORWIN SK3","4.00","L3e",1
"HORWIN","SK3","4.00","L3e",7
"INVICTA ELECTRIC","VMX10S","4.00","L3e",1
"IONIK","HOMCAN","2.00","L3e",1
"IONIK","VELAR","3.00","L3e",4
"KAWASAKI","Z E-1","5.00","L3e",1
"LINZE","ROAD","4.00","L3e",1
"LVNENG","NCE S","6.60","L3e",1
"LVNENG","NCS S","4.65","L3e",5
"MAEVING","RM1S","7.20","L3e",1
"NEXTELECTRICMOTORS","NX PLUS","4.00","L3e",3
"NEXT","MOJITO","3.50","L3e",8
"NEXT","OVEGA","10.00","L3e",2
"NIU","NQI GT CARGO L3 4,2KWH","3.50","L3e",1
"NWOW","NWOW-02A","6.80","L3e",1
"OTTOBIKE","--","5.70","L3e",1
"OXWIN","ES1 PRO","5.00","L3e",1
"PIAGGIO","PIAGGIO 1","2.00","L3e",2
"PIAGGIO","VESPA ELETTRICA","3.60","L3e",1
"QUAZZAR","E-DIVINE PLUS","4.00","L3e",1
"RAY ELECTRIC MOTORS","RAY 7.7","11.00","L3e",1
"RIEJU","NUUK","6.13","L3e",147
"RIEJU","RAY7.7","11.00","L3e",24
"RODEA","NG-01","4.70","L3e",2
"SAKURA","- - -","3.00","L3e",1
"SAKURA","EV4500","4.50","L3e",1
"SAKURA","JS2A","4.00","L3e",1
"SEGWAY","--","7.80","L3e",15
"SILENCE","S01+","7.50","L3e",13
"SILENCE","S01","7.00","L3e",201
"SILENCE","S02","4.54","L3e",6
"SILENCE","S02","7.00","L3e",15
"SILENCE","SEAT MÓ 125 PERFORMANC","7.50","L3e",2
"SILENCE","SEAT MÓ ESCOOTER 125","7.00","L3e",18
"STARK","STARK VARG","9.00","L3e",27
"SUPER SOCO","CPX","4.00","L3e",1
"SUPER SOCO","TC MAX E5","3.90","L3e",3
"SUPER SOCO","TS STREET HUNTER","2.50","L3e",2
"URBAN ELECTRIC MOTORS","LX06MAX","4.00","L3e",1
"VELCA","CALIMA S","5.15","L3e",22
"VELCA","CALIMA","4.00","L3e",2
"VELCA","JSQ1","8.00","L3e",2
"VELCA","ONE","7.00","L3e",7
"VELCA","TRAMONTANA S","4.68","L3e",1
"VELIMOTOR","VMX10S","4.00","L3e",1
"VMOTO","F01","3.50","L3e",1
"VMOTO","STASH","9.00","L3e",6
"YADEA","C1S PRO","6.00","L3e",1
"YADEA","Y1S PRO","3.60","L3e",1
"YASAN MOTOR","E-BEE","4.00","L3e",1
"ZEEHO","AE6+","4.70","L3e",3
"ZEEHO","N.A.","10.20","L3e",1
"ZEEHO","N/A","10.20","L3e",3
"ZERO MOTORCYCLES","DS 14.4","11.00","L3e",6
"ZERO MOTORCYCLES","DS","11.00","L3e",1
"ZERO MOTORCYCLES","S 14.4","11.00","L3e",3
