MARCA_ITV,COUNT
"AJP",1
"APRILIA",57
"ARIIC",1
"BENELLI",416
"BETA",53
"BMW",1367
"BRIXTON",51
"BULLIT",2
"CF MOTO",9
"DAELIM",148
"DUCATI",312
"EFUN",21
"EZNEN",1
"FOXI",1
"GASGAS",24
"GOES",93
"HANWAY",62
"HARLEY-DAVIDSON",206
"HONDA",3800
"HUSQVARNA",110
"HYOSUNG",24
"INDIAN",22
"KANDI MX",7
"KAWASAKI",878
"KEEWAY",275
"KENROD",3
"KSR MOTO",36
"KTM",556
"KYMCO",1830
"LAMBRETTA",16
"LEONART",10
"LEXMOTO",3
"MACBOR",173
"MALAGUTI",7
"MALCOR",9
"MASH",28
"MH MOTORCYCLES",33
"MONDIAL",47
"MONKEY BIKES",5
"MONTESA",10
"MOTO GUZZI",51
"MV AGUSTA",15
"NOOMA",2
"ORCAL",4
"PEUGEOT",260
"PIAGGIO",1320
"PIONEER",2
"RIEJU",108
"RIYA",23
"ROYAL ALLOY",7
"ROYAL ENFIELD",104
"SANBEN",5
"SCOMADI",14
"SCORPA",1
"SHERCO",33
"SKY TEAM",4
"SUMCO",14
"SUZUKI",651
"SWM",22
"SYM",995
"TARO",2
"TIANDA",9
"TM RACING",1
"TRIUMPH",293
"TRS",13
"UM",55
"VERTIGO MOTORS",11
"WANGYE",3
"WOTTAN",168
"YAMAHA",2580
"ZHENHUA",1
"ZONTES",51
