FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV
"25092026","0","","KYMCO","SUPER DINK GT","Valencia/València","Comunidad Valenciana","321"
"25092026","0","","VOGE","625DSX","Valladolid","Castilla y León","581"
"25092026","0","","HONDA","PCX 125","Málaga","Andalucía","125"
"25092026","0","","VOGE","625DSX","Jaén","Andalucía","581"
"25092026","0","","PIAGGIO","LIBERTY 125 ABS","Valencia/València","Comunidad Valenciana","124"
"25092026","0","","KAWASAKI","NINJA ZX-6R","Zaragoza","Aragón","636"
"25092026","0","","PIAGGIO","VESPA PRIMAVERA 125","Illes Balears","Illes Balears","124"
"25092026","0","","SUZUKI","GSX-S 1000","Alicante/Alacant","Comunidad Valenciana","999"
"25092026","0","","ZONTES","368G","Guadalajara","Castilla-La Mancha","368"
"25092026","0","","YAMAHA","TRACER 700","Jaén","Andalucía","689"
"25092026","0","","ROYAL ENFIELD","CLASSIC 650 TWIN","Bizkaia","País Vasco","648"
"25092026","0","","ZONTES","125V","Barcelona","Cataluña","125"
"25092026","0","","ZONTES","ZT125-Z2","Madrid","Comunidad de Madrid","125"
"25092026","0","","KYMCO","DTX 350","Cádiz","Andalucía","321"
"25092026","0","","YAMAHA","NMAX 125","Almería","Andalucía","125"
"25092026","0","","YAMAHA","NMAX 125","Santa Cruz de Tenerife","Canarias","125"
"25092026","0","","HONDA","XL750 Transalp","Gipuzkoa","País Vasco","755"
"25092026","0","","CFMOTO","800MT-X","Huelva","Andalucía","799"
"25092026","0","","BMW","F 900 GS","Gipuzkoa","País Vasco","895"
"25092026","0","","YAMAHA","NMAX 125","Alicante/Alacant","Comunidad Valenciana","125"
"25092026","0","","HONDA","SH125i","Barcelona","Cataluña","125"
"25092026","0","","SUZUKI","ADDRESS 125","Alicante/Alacant","Comunidad Valenciana","124"
"25092026","0","","HONDA","SH125i","Barcelona","Cataluña","125"
"25092026","0","","YAMAHA","TRICITY 125","Barcelona","Cataluña","125"
"25092026","0","","KAWASAKI","KLE500","Burgos","Castilla y León","451"
"25092026","0","","KOVE","KOVE 800 X RALLY","Málaga","Andalucía","799"
"25092026","0","","HONDA","CB 125 F","Alicante/Alacant","Comunidad Valenciana","124"
"25092026","0","","ZONTES","125X","Toledo","Castilla-La Mancha","125"
"25092026","0","","HONDA","PCX 125","Barcelona","Cataluña","125"
"25092026","0","","BMW","R 1300 GS","Girona","Cataluña","1300"
"25092026","0","","HONDA","PCX 125","Barcelona","Cataluña","125"
"25092026","0","","MOTO MORINI","SEIEMMEZZO","Zaragoza","Aragón","649"
"25092026","0","","KYMCO","SUPER DINK GT 125 E5+","Madrid","Comunidad de Madrid","124"
"25092026","0","","YAMAHA","XMAX 300","Tarragona","Cataluña","292"
"25092026","0","","ZONTES","125X","León","Castilla y León","125"
"25092026","0","","HONDA","ADV 750","Santa Cruz de Tenerife","Canarias","745"
"25092026","0","","HONDA","ADV 750","Palmas (Las)","Canarias","745"
"25092026","0","","YAMAHA","WR125","Girona","Cataluña","125"
"25092026","0","","HONDA","VISION 110","Málaga","Andalucía","109"
"25092026","0","","YAMAHA","XMAX 300","Sevilla","Andalucía","292"
"25092026","0","","KAWASAKI","NINJA 500","Valencia/València","Comunidad Valenciana","451"
"25092026","0","","VOGE","625DSX","Asturias","Principado de Asturias","581"
"25092026","0","","BMW","C 400 GT","Madrid","Comunidad de Madrid","350"
"25092026","0","","BMW","R 1300 RT","Pontevedra","Galicia","1300"
"25092026","0","","QJMOTOR","SRT 450 RX","Almería","Andalucía","450"
"25092026","0","","HONDA","SH125i","Barcelona","Cataluña","125"
"25092026","0","","ZONTES","368K","Valencia/València","Comunidad Valenciana","368"
"25092026","0","","HONDA","CBR 650 R","Jaén","Andalucía","649"
"25092026","0","","HONDA","FORZA 350","Castellón/Castelló","Comunidad Valenciana","330"
"25092026","0","","QJMOTOR","SRT 125 DX","Palmas (Las)","Canarias","125"
"25092026","0","","HONDA","FORZA125","Barcelona","Cataluña","125"
"25092026","0","","ZONTES","368K","Barcelona","Cataluña","368"
"25092026","0","","ZONTES","125E","Madrid","Comunidad de Madrid","125"
"25092026","0","","VOGE","SR450X","Granada","Andalucía","398"
"25092026","0","","HONDA","PCX 125","Valencia/València","Comunidad Valenciana","125"
"25092026","0","","PEUGEOT","KISBEE M","Cuenca","Castilla-La Mancha","125"
"25092026","0","","KYMCO","SUPER DINK GT 125 E5+","Barcelona","Cataluña","124"
"25092026","0","","QJMOTOR","SRK 125 S E5+","Granada","Andalucía","125"
"25092026","0","","PIAGGIO","VESPA PRIMAVERA 125","Granada","Andalucía","124"
"25092026","0","","RIEJU","X-OVER 125","Tarragona","Cataluña","125"
"25092026","0","","ZONTES","125C","León","Castilla y León","125"
"25092026","0","","ZONTES","125X","Toledo","Castilla-La Mancha","125"
"25092026","0","","BMW","R 1300 RT","Barcelona","Cataluña","1300"
"25092026","0","","QJMOTOR","LTR 125 E5+","Granada","Andalucía","125"
