MARCA_ITV,MODELO_ITV,KW_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,COUNT
"ALRENDO","TS BRAVO","10.00","L3e",1
"ARENA","R30","4.00","L3e",1
"ARENA","VORTEX","4.00","L3e",1
"ASKOLL","N.A.","2.70","L3e",2
"BMW","CE 02","6.00","L3e",4
"BMW","CE 04","11.00","L3e",1
"BMW","CE 04","15.00","L3e",1
"BMW","CE04","15.00","L3e",2
"BRP","2W ORIGIN EV46-14 BK I","10.60","L3e",1
"BRP","2W ORIGIN SS73 EV46-27","30.10","L3e",1
"BRP","2W PULSE EV46-14 BK IN","10.60","L3e",1
"BRP","2W PULSE SS73 EV46-27","30.10","L3e",1
"CECOTEC","VULCANO","6.00","L3e",12
"CHAOYA","E-ROAD","4.60","L3e",1
"E RIDE PRO","SS3.0","6.00","L3e",1
"E-BROH","BRAVO CR","5.00","L3e",4
"E-BROH","BRAVO GLE","5.00","L3e",3
"E-BROH","BRAVO GLS","5.00","L3e",1
"E-BROH","E-F10","4.70","L3e",1
"E-BROH","VERACRUZ","4.70","L3e",1
"E-ZI","GOCCIA GEV3000","3.00","L3e",1
"EFUN","DEER 100","7.10","L3e",1
"EFUN","LION","11.00","L3e",43
"EFUN","PUSA90","5.50","L3e",10
"EFUN","TIGER 100","7.10","L3e",5
"FELQ","FW03","3.00","L3e",5
"FELQ","FW07","5.00","L3e",2
"HONDA","EVP4","4.20","L3e",12
"HORWIN","F80","4.30","L3e",1
"LIVEWIRE","S2 ALPINISTA","30.00","L3e",2
"LIVEWIRE","S2 DEL MAR","30.00","L3e",1
"LVNENG","LX08MAX","4.00","L3e",2
"NEXT","MOJITO","3.50","L3e",6
"NEXT","V5","10.00","L3e",5
"NIU","MQI GT EVO ESTANDAR E5","6.50","L3e",1
"NIU","NQI GTS SPORTL3 3,2KWH","4.60","L3e",4
"PIAGGIO","PIAGGIO 1","2.00","L3e",1
"QUAZZAR","E-DIVINE PLUS","4.00","L3e",1
"RAY ELECTRIC MOTORS","RAY 7.7","11.00","L3e",1
"RODEA","NG-01","4.70","L3e",3
"SEGWAY","--","7.80","L3e",20
"SEGWAY","E250S","5.00","L3e",11
"SILENCE","S01+","7.50","L3e",14
"SILENCE","S01","7.00","L3e",50
"SILENCE","S02","7.00","L3e",9
"SILENCE","SEAT MÓ ESCOOTER 125","7.00","L3e",5
"STARK","STARK VARG","9.00","L3e",10
"STARK","VARG","9.00","L3e",10
"SUPER SOCO","CPXPRO","4.00","L3e",2
"SUPER SOCO","TC 125","1.90","L3e",9
"SUPER SOCO","TS STREET HUNTER","2.50","L3e",1
"SURRON","ULTRA BEE","6.00","L3e",1
"ULTRAVIOLETTE AUTOMOTIVE PRIVA","F77 MACH 2 RECON","9.50","L3e",2
"ULTRAVIOLETTE AUTOMOTIVE PRIVA","F77 SUPERSTREET RECON","9.50","L3e",1
"VELCA","CALIMA S","5.15","L3e",2
"VELCA","ONE","7.00","L3e",7
"VELCA","TRAMONTANA S","4.68","L3e",7
"VELCA","VORTEX","8.00","L3e",1
"VELIMOTOR","VMX10SE","4.00","L3e",1
"ZERO MOTORCYCLES","DS 14.4 11KW","11.00","L3e",1
"ZERO MOTORCYCLES","DS 14.4","11.00","L3e",1
"ZERO MOTORCYCLES","DSR 15.6","33.00","L3e",1
"ZERO MOTORCYCLES","FX ZF7.2","15.40","L3e",4
"ZERO MOTORCYCLES","FX","15.00","L3e",1
"ZERO MOTORCYCLES","S 14.4","11.00","L3e",1
"ZERO MOTORCYCLES","ZERO MOTORCYCLE XE","6.00","L3e",1
