MARCA_ITV,COUNT
"ABENDAÑO",1
"AGROMET",1
"AJP",16
"APRILIA",721
"ARIIC",11
"ASIAWING",2
"BENELLI",3104
"BETA",722
"BMW",10932
"BRIXTON",650
"BULLIT",8
"CC",2
"CF MOTO",149
"DAELIM",979
"DAYANG",12
"DNIEPER",1
"DUCATI",1940
"E-BROH",9
"EFUN",267
"EKOE",1
"FANTIC MOTOR",61
"FKMOTORS",89
"GAS-GAS",330
"GENERIC",3
"GOES",661
"HANWAY",417
"HARLEY DAVIDSON",1276
"HARTFORD",2
"HONDA",28158
"HUSQVARNA",1644
"HYOSUNG",254
"INDIAN",1
"INDIAN MOTORCYCLE",292
"JCADI",1
"JTG",1
"KANDI MX",8
"KAWASAKI",7749
"KEEWAY",2794
"KENROD",12
"KSR MOTO",7
"KSR MOTO AUSTRIA",256
"KTM",6484
"KYMCO",15072
"LAMBRETTA",171
"LEONART",125
"LEXMOTO",12
"LONCIN",70
"MACBOR",2778
"MALAGUTI",407
"MALCOR",102
"MASH",225
"MESSERSCHMITT",16
"MH MOTORCYCLES",463
"MITT",391
"MONDIAL",364
"MONKEY BIKES",35
"MONTESA",217
"MOTO GUZZI",474
"MOTO SPA",5
"MOTOHAPPY",1
"MOTORBIKE",13
"MUTTI",68
"MV AGUSTA",77
"MX",2
"N.S.U.",2
"NO STOCK BIKES",2
"NOOMA",22
"NORTON",3
"ORCAL",86
"PEUGEOT",2781
"PIAGGIO",10981
"PIONEER",23
"QINGQI",1
"RIEJU",865
"RIYA",7
"ROYAL ALLOY",14
"ROYAL ENFIELD",842
"S.Y.M",7594
"SANBEN",2
"SCOMADI",30
"SCORPA",6
"SHERCO",618
"SKY TEAM",15
"SUMCO",186
"SUZUKI",3621
"SWM",208
"TARO",1
"TIANDA",14
"TIANYING",51
"TM RACING",50
"TOYOTA",1
"TRIUMPH",2146
"TRS",344
"UM",649
"VENT SRL",2
"VERTIGO MOTORS",111
"VOGE",176
"VOGEL-NOOT",124
"WANGYE",14
"WOTTAN",1644
"YAMAHA",22496
"YINGANG",4
"ZNEN",5
"ZONTES",874
