MARCA_ITV,COUNT
"AEON",1
"APRILIA",57
"ASIAWING",1
"BENELLI",215
"BETA",75
"BMW",753
"BRIXTON",36
"CF MOTO",2
"DAELIM",95
"DERBI",1
"DUCATI",153
"EFUN",11
"FOXI",4
"GAS-GAS",76
"GOES",40
"HANWAY",37
"HARLEY DAVIDSON",155
"HONDA",2499
"HUSQVARNA",196
"HYOSUNG",18
"INDIAN MOTORCYCLE",19
"JNEN",4
"KAWASAKI",608
"KEEWAY",149
"KENROD",2
"KSR MOTO",2
"KSR MOTO AUSTRIA",27
"KTM",461
"KYMCO",1045
"LAMBRETTA",9
"LEONART",5
"LEXMOTO",2
"LML",1
"MACBOR",96
"MALCOR",6
"MASH",21
"MH MOTORCYCLES",22
"MONDIAL",32
"MONKEY BIKES",2
"MONTESA",33
"MOTO GUZZI",22
"MOTO SPA",4
"MOTORBIKE",2
"MV AGUSTA",5
"ORCAL",5
"PEUGEOT",144
"PIAGGIO",631
"PIONEER",1
"RIEJU",65
"RIYA",20
"ROYAL ALLOY",8
"ROYAL ENFIELD",79
"S.Y.M",505
"SANBEN",3
"SCOMADI",8
"SHERCO",66
"SKY TEAM",4
"SUMCO",12
"SUZUKI",356
"SWM",7
"TARO",1
"TIANDA",7
"TIANYING",1
"TM RACING",1
"TRIUMPH",154
"TRS",30
"UM",35
"VENT SRL",2
"VERTIGO MOTORS",14
"VICTORY MOTOR DIVISION",1
"WANGYE",3
"WOTTAN",147
"YAMAHA",1611
"YINGANG",1
"ZHENHUA",1
"ZONTES",25
