FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,POTENCIA_ITV,NUM_PLAZAS,LOCALIDAD_VEHICULO,COD_PROVINCIA_VEH,COD_PROVINCIA_MAT,FEC_TRAMITE,CODIGO_POSTAL,PERSONA_FISICA_JURIDICA,CODIGO_ITV,SERVICIO,COD_MUNICIPIO_INE_VEH,MUNICIPIO,KW_ITV,TIPO_CARNET,TIPO_ITV,VARIANTE_ITV,VERSION_ITV,MASA_ORDEN_MARCHA_ITV,MASA_MAXIMA_TECNICA_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,CARROCERIA,CONSUMO_WH_KM_ITV,CLASIFICACION_REGLAMENTO_VEHICULOS_ITV,CATEGORIA_VEHICULO_ELECTRICO,AUTONOMIA_VEHICULO_ELECTRICO,MARCA_VEHICULO_BASE,FABRICANTE_VEHICULO_BASE,TIPO_VEHICULO_BASE,VARIANTE_VEHICULO_BASE,VERSION_VEHICULO_BASE
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","STARK","VARG","0","1.74","1","SANT FRANCESC DE FORMENT","IB","B","18032026","07860","D","","B00","07024","FORMENTERA","9.00","A1","","EX","HB","97","275","L3e","ND","126","0400","BEV","011700","","","","",""
"18032026","0","","ULTRAVIOLETTE AUTOMOTIVE PRIVA","F77 SUPERSTREET RECON","0","1.84","2","EIVISSA","IB","IB","18032026","07800","D","","B00","07026","EIVISSA","9.50","A1","","2","1","137","360","L3e","","86","0400","BEV","014300","","","","",""
"18032026","0","","VELCA","EON","0","2.14","2","BARCELONA","B","B","18032026","08005","D","","B00","08019","BARCELONA","11.00","A1","","---","---","162","409","L3e","","109","0400","BEV","012500","","","","",""
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","SILENCE","S01","0","1.35","2","CEUTA","CE","CE","18032026","51001","D","","B00","51001","CEUTA","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","SUPER SOCO","TS STREET HUNTER","0","0.49","2","VITORIA-GASTEIZ","VI","VI","18032026","01006","D","","B00","01059","VITORIA GASTEIZ","2.50","A1","","2","1","89","266","L3e","","40","0400","BEV","005200","","","","",""
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","ULTRAVIOLETTE AUTOMOTIVE PRIVA","F77 SUPERSTREET RECON","0","1.94","2","PATERNA","V","MU","18032026","46980","D","","B00","46190","PATERNA","9.50","A1","","2","1","137","360","L3e","","86","0400","BEV","014300","","","","",""
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","VELCA","EON","0","2.14","2","ROJALES","A","MU","18032026","03170","D","","B00","03113","ROJALES","11.00","A1","","---","---","162","409","L3e","","109","0400","BEV","012500","","","","",""
"18032026","0","","ZERO MOTORCYCLES","LS1","0","0.97","2","VILASSAR DE MAR","B","B","18032026","08340","D","","B00","08219","VILASSAR DE MAR","5.00","A1","","0","0","110","284","L3e","ND","52","0400","BEV","011200","","","","",""
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","SILENCE","S01","0","1.35","2","ALICANTE/ALACANT","A","A","18032026","03013","D","","B00","03014","ALICANTE","7.00","A1","","5","2","111","320","L3e","","70","0400","BEV","013300","","","","",""
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","VELCA","EON","0","2.14","2","MANRESA","B","B","18032026","08242","D","","B00","08113","MANRESA","11.00","A1","","---","---","162","409","L3e","","109","0400","BEV","012500","","","","",""
"18032026","0","","SILENCE","S01+","0","1.45","2","HOSPITALET DE LLOBREGAT","B","B","18032026","08905","D","","B00","08101","L HOSPITALET DE LLOB","7.50","A1","","7","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","SILENCE","S01","0","1.35","2","DONOSTIA-SAN SEBASTIÁN","SS","T","18032026","20006","D","","B00","20069","DONOSTIA","7.00","A1","","5","2","111","320","L3e","","70","0400","BEV","013300","","","","",""
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","SILENCE","S02","0","0.77","2","CALA LLENYA","IB","B","18032026","07850","D","","B00","07054","STA EULALIA DEL RIO","4.00","A1","","00","00","91","293","L3e","ND","55","0400","BEV","013800","","","","",""
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","SILENCE","S01","0","1.35","2","SABADELL","B","B","18032026","08208","D","","B00","08187","SABADELL","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","SILENCE","S02","0","1.35","2","MADRID","M","M","18032026","28028","X","","A01","28079","MADRID","7.00","A1","","1","2","105","330","L3e","ND","70","0400","BEV","013300","","","","",""
"18032026","0","","VELCA","EON","0","2.14","2","BARCELONA","B","B","18032026","08005","X","","B00","08019","BARCELONA","11.00","A1","","---","---","162","409","L3e","","109","0400","BEV","012500","","","","",""
"18032026","0","","VELCA","EON","0","2.14","2","BARCELONA","B","B","18032026","08029","X","","B00","08019","BARCELONA","11.00","A1","","---","---","162","409","L3e","","109","0400","BEV","012500","","","","",""
"18032026","0","","ULTRAVIOLETTE AUTOMOTIVE PRIVA","F77 MACH 2 RECON","0","1.84","2","ZARAGOZA","Z","Z","18032026","50011","D","","B00","50297","ZARAGOZA","9.50","A1","","1","1","137","360","L3e","","86","0400","BEV","014300","","","","",""
