FEC_MATRICULA,COD_CLASE_MAT,FEC_TRAMITACION,MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,POTENCIA_ITV,NUM_PLAZAS,LOCALIDAD_VEHICULO,COD_PROVINCIA_VEH,COD_PROVINCIA_MAT,FEC_TRAMITE,CODIGO_POSTAL,PERSONA_FISICA_JURIDICA,CODIGO_ITV,SERVICIO,COD_MUNICIPIO_INE_VEH,MUNICIPIO,KW_ITV,TIPO_CARNET,TIPO_ITV,VARIANTE_ITV,VERSION_ITV,MASA_ORDEN_MARCHA_ITV,MASA_MAXIMA_TECNICA_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,CARROCERIA,CONSUMO_WH_KM_ITV,CLASIFICACION_REGLAMENTO_VEHICULOS_ITV,CATEGORIA_VEHICULO_ELECTRICO,AUTONOMIA_VEHICULO_ELECTRICO,MARCA_VEHICULO_BASE,FABRICANTE_VEHICULO_BASE,TIPO_VEHICULO_BASE,VARIANTE_VEHICULO_BASE,VERSION_VEHICULO_BASE
"13022026","0","","E RIDE PRO","SS 3.0","0","1.16","1","CASABERMEJA","MA","V","13022026","29160","D","","B00","29039","CASABERMEJA","6.00","A1","","01","02","60","224","L3e","","45","0400","BEV","007300","","","","",""
"13022026","0","","SILENCE","S01+","0","1.45","2","POLOP","A","A","13022026","03520","D","","B00","03107","POLOP","7.50","A1","","7","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"13022026","0","","SILENCE","S01","0","1.35","2","HUERCAL DE ALMERIA","AL","SE","13022026","04230","D","","B00","04052","HUERCAL DE ALMERIA","7.00","A1","","5","2","111","320","L3e","ND","70","0400","BEV","013300","","","","",""
"13022026","0","","ZERO MOTORCYCLES","S 14.4","0","2.13","2","ABRERA","B","MU","13022026","08630","D","","B00","08001","ABRERA","11.00","A1","","FS","065S","143","454","L3e","ND","83","0400","BEV","018200","","","","",""
"13022026","0","","VELCA","EON","0","2.14","2","TAFALLA","NA","NA","13022026","31300","D","","B00","31227","TAFALLA","11.00","A1","","---","---","162","409","L3e","","109","0400","BEV","012500","","","","",""
"13022026","0","","NEXT","MOJITO","0","0.67","2","MIJAS COSTA","MA","V","13022026","29649","D","","B00","29070","MIJAS","3.50","A1","","EE","00","87","261","L3e","ND","31","0400","BEV","011400","","","","",""
"13022026","0","","STARK","VARG","0","1.74","1","MADRID","M","M","13022026","28043","D","","B00","28079","MADRID","9.00","A1","","SM","HB","97","275","L3e","ND","115","0400","BEV","008100","","","","",""
