MARCA_ITV,COUNT
"AJP",7
"ALPINA DI RENANIA",1
"APRILIA",225
"ARIIC",16
"BENELLI",129
"BETA",46
"BMW",1077
"BRIXTON",22
"BSA",1
"CFMOTO",48
"DAELIM",3
"DUCATI",169
"EFUN",9
"FANTIC MOTOR",30
"GASGAS",77
"HANWAY",5
"HARLEY-DAVIDSON",45
"HONDA",2657
"HUSQVARNA",153
"HYOSUNG",7
"INDIAN",22
"KAWASAKI",430
"KEEWAY",170
"KTM",419
"KYMCO",719
"LAMBRETTA",3
"LEONART",5
"LINHAI",6
"MACBOR",89
"MALAGUTI",5
"MALCOR IBERICA",6
"MASH",1
"MH MOTORCYCLES",72
"MITT",145
"MONDIAL",5
"MONKEY BIKES",5
"MONTESA",17
"MOTO GUZZI",26
"MOTO MORINI",18
"MOTRON MOTORRAD",9
"MUTT",8
"MV AGUSTA",2
"ORCAL",2
"PEUGEOT",99
"PIAGGIO",500
"QJMOTOR",102
"REDMOTO",2
"RIEJU",71
"RIYA",3
"ROYAL ALLOY",3
"ROYAL ENFIELD",86
"SCORPA",1
"SHERCO",43
"SUMCO",1
"SUZUKI",245
"SWM",6
"SYM",391
"TM RACING",2
"TRIUMPH",189
"TRS",11
"UM",29
"VENT S.R.L.",1
"VERTIGO MOTORS",2
"VOGE",576
"WOTTAN",110
"YAMAHA",1785
"ZONTES",433
