MARCA_ITV,COUNT
"APRILIA",66
"BENELLI",160
"BETA",52
"BMW",957
"BRIXTON",21
"CF MOTO",1
"COLIBRI",3
"DAELIM",142
"DERBI",24
"DUCATI",235
"GASGAS",47
"GENERIC",1
"GOES",38
"HANWAY",93
"HARLEY-DAVIDSON",170
"HM",11
"HONDA",3390
"HUDSON BOSS",5
"HUSQVARNA",58
"HYOSUNG",24
"INDIAN",20
"KAWASAKI",622
"KEEWAY",430
"KENROD",1
"KSR MOTO",11
"KTM",386
"KYMCO",1683
"LIFAN",9
"LINTEX",5
"LML",17
"MACBOR",13
"MASH",49
"MH MOTORCYCLES",63
"MONDIAL",45
"MONSTERPRO",1
"MONTESA",8
"MOTO GUZZI",22
"MV AGUSTA",7
"ORCAL",3
"PEUGEOT",248
"PIAGGIO",1104
"RIDE",18
"RIEJU",110
"RIYA",64
"ROYAL ENFIELD",22
"SCOMADI",58
"SHERCO",12
"SKY TEAM",2
"SUMCO",12
"SUZUKI",525
"SWM",7
"SYM",931
"TGB",13
"TRIUMPH",182
"TRS",20
"UM",10
"VERTIGO MOTORS",4
"VICTORY MOTOR",2
"WOTTAN",89
"YAMAHA",2542
"ZNEN",2
