MARCA_ITV,COUNT
"ARENA",1
"BMW",14
"CECOTEC",6
"E RIDE PRO",1
"E-BROH",5
"EFUN",87
"FAURO",1
"FELQ",1
"HONDA",2
"HORWIN",1
"IONIK",1
"JNEN",1
"KAINING",1
"KAWASAKI",1
"LIFAN",8
"NEXT",11
"NEXTELECTRICMOTORS",1
"NIU",22
"NWOW",2
"OTTOBIKE",4
"OXWIN",13
"PIAGGIO",8
"QUAZZAR",2
"RAY ELECTRIC MOTORS",2
"RODEA",8
"SEGWAY",24
"SILENCE",373
"STARK",26
"SUPER SOCO",43
"SURRON",4
"TROMOX",3
"TYE",1
"ULTRAVIOLETTE AUTOMOTIVE PRIVA",2
"URBAN ELECTRIC MOTORS",20
"VELCA",65
"VMOTO",46
"YADEA",3
"ZEEHO",1
"ZERO MOTORCYCLES",20
